msa,date,employmentTotal,employmentChange,unemploymentRate,unemploymentChange
"Dallas-Fort Worth-Arlington, TX",Jan-1990,2144983,,4.9264,
"Dallas-Fort Worth-Arlington, TX",Feb-1990,2154888,,5.182,
"Dallas-Fort Worth-Arlington, TX",Mar-1990,2170434,,4.6637,
"Dallas-Fort Worth-Arlington, TX",Apr-1990,2171635,,4.8143,
"Dallas-Fort Worth-Arlington, TX",May-1990,2176130,,5.218,
"Dallas-Fort Worth-Arlington, TX",Jun-1990,2200754,,5.5421,
"Dallas-Fort Worth-Arlington, TX",Jul-1990,2213812,,5.4002,
"Dallas-Fort Worth-Arlington, TX",Aug-1990,2203688,,5.1077,
"Dallas-Fort Worth-Arlington, TX",Sep-1990,2188989,,5.2665,
"Dallas-Fort Worth-Arlington, TX",Oct-1990,2196706,,4.9396,
"Dallas-Fort Worth-Arlington, TX",Nov-1990,2191257,,5.3686,
"Dallas-Fort Worth-Arlington, TX",Dec-1990,2194069,,5.1445,
"Dallas-Fort Worth-Arlington, TX",Jan-1991,2154002,,5.4679,
"Dallas-Fort Worth-Arlington, TX",Feb-1991,2149160,-0.27,6.0957,0.91
"Dallas-Fort Worth-Arlington, TX",Mar-1991,2156653,-0.63,6.1643,1.5
"Dallas-Fort Worth-Arlington, TX",Apr-1991,2179237,0.35,6.0122,1.2
"Dallas-Fort Worth-Arlington, TX",May-1991,2170570,-0.26,6.444,1.23
"Dallas-Fort Worth-Arlington, TX",Jun-1991,2199588,-0.05,6.887,1.34
"Dallas-Fort Worth-Arlington, TX",Jul-1991,2214998,0.05,6.6348,1.23
"Dallas-Fort Worth-Arlington, TX",Aug-1991,2192278,-0.52,6.4871,1.38
"Dallas-Fort Worth-Arlington, TX",Sep-1991,2191423,0.11,6.5443,1.28
"Dallas-Fort Worth-Arlington, TX",Oct-1991,2193191,-0.16,6.482,1.54
"Dallas-Fort Worth-Arlington, TX",Nov-1991,2188468,-0.13,6.5299,1.16
"Dallas-Fort Worth-Arlington, TX",Dec-1991,2185217,-0.4,6.4246,1.28
"Dallas-Fort Worth-Arlington, TX",Jan-1992,2160750,0.31,7.2112,1.74
"Dallas-Fort Worth-Arlington, TX",Feb-1992,2161472,0.57,7.1641,1.07
"Dallas-Fort Worth-Arlington, TX",Mar-1992,2176455,0.92,6.8936,0.73
"Dallas-Fort Worth-Arlington, TX",Apr-1992,2191370,0.56,6.8385,0.83
"Dallas-Fort Worth-Arlington, TX",May-1992,2196640,1.2,6.9453,0.5
"Dallas-Fort Worth-Arlington, TX",Jun-1992,2219884,0.92,7.5848,0.7
"Dallas-Fort Worth-Arlington, TX",Jul-1992,2240480,1.15,7.0869,0.45
"Dallas-Fort Worth-Arlington, TX",Aug-1992,2230385,1.74,6.8592,0.37
"Dallas-Fort Worth-Arlington, TX",Sep-1992,2215872,1.12,6.8523,0.31
"Dallas-Fort Worth-Arlington, TX",Oct-1992,2220493,1.24,6.4666,-0.02
"Dallas-Fort Worth-Arlington, TX",Nov-1992,2221996,1.53,6.771,0.24
"Dallas-Fort Worth-Arlington, TX",Dec-1992,2227534,1.94,6.3347,-0.09
"Dallas-Fort Worth-Arlington, TX",Jan-1993,2194406,1.56,7.0898,-0.12
"Dallas-Fort Worth-Arlington, TX",Feb-1993,2207750,2.14,6.7139,-0.45
"Dallas-Fort Worth-Arlington, TX",Mar-1993,2222946,2.14,6.2584,-0.64
"Dallas-Fort Worth-Arlington, TX",Apr-1993,2225903,1.58,5.9888,-0.85
"Dallas-Fort Worth-Arlington, TX",May-1993,2242815,2.1,6.0504,-0.89
"Dallas-Fort Worth-Arlington, TX",Jun-1993,2273243,2.4,6.4898,-1.09
"Dallas-Fort Worth-Arlington, TX",Jul-1993,2290717,2.24,6.1037,-0.98
"Dallas-Fort Worth-Arlington, TX",Aug-1993,2288124,2.59,6.0591,-0.8
"Dallas-Fort Worth-Arlington, TX",Sep-1993,2267896,2.35,5.9151,-0.94
"Dallas-Fort Worth-Arlington, TX",Oct-1993,2279981,2.68,5.8125,-0.65
"Dallas-Fort Worth-Arlington, TX",Nov-1993,2292921,3.19,5.7275,-1.04
"Dallas-Fort Worth-Arlington, TX",Dec-1993,2298003,3.16,5.3138,-1.02
"Dallas-Fort Worth-Arlington, TX",Jan-1994,2276626,3.75,6.073,-1.02
"Dallas-Fort Worth-Arlington, TX",Feb-1994,2283885,3.45,6.0447,-0.67
"Dallas-Fort Worth-Arlington, TX",Mar-1994,2292225,3.12,5.7795,-0.48
"Dallas-Fort Worth-Arlington, TX",Apr-1994,2305252,3.56,5.4787,-0.51
"Dallas-Fort Worth-Arlington, TX",May-1994,2326237,3.72,5.2377,-0.81
"Dallas-Fort Worth-Arlington, TX",Jun-1994,2344793,3.15,5.7553,-0.73
"Dallas-Fort Worth-Arlington, TX",Jul-1994,2360401,3.04,5.598,-0.51
"Dallas-Fort Worth-Arlington, TX",Aug-1994,2361227,3.19,5.3387,-0.72
"Dallas-Fort Worth-Arlington, TX",Sep-1994,2354575,3.82,5.1016,-0.81
"Dallas-Fort Worth-Arlington, TX",Oct-1994,2369018,3.91,4.8215,-0.99
"Dallas-Fort Worth-Arlington, TX",Nov-1994,2376092,3.63,4.7579,-0.97
"Dallas-Fort Worth-Arlington, TX",Dec-1994,2382950,3.7,4.3159,-1
"Dallas-Fort Worth-Arlington, TX",Jan-1995,2350394,3.24,5.1821,-0.89
"Dallas-Fort Worth-Arlington, TX",Feb-1995,2365977,3.59,4.6625,-1.38
"Dallas-Fort Worth-Arlington, TX",Mar-1995,2380869,3.87,4.5267,-1.25
"Dallas-Fort Worth-Arlington, TX",Apr-1995,2388390,3.61,4.6501,-0.83
"Dallas-Fort Worth-Arlington, TX",May-1995,2387899,2.65,4.5899,-0.65
"Dallas-Fort Worth-Arlington, TX",Jun-1995,2408416,2.71,5.1265,-0.63
"Dallas-Fort Worth-Arlington, TX",Jul-1995,2426827,2.81,5.0855,-0.51
"Dallas-Fort Worth-Arlington, TX",Aug-1995,2418908,2.44,4.9138,-0.42
"Dallas-Fort Worth-Arlington, TX",Sep-1995,2411450,2.42,4.8544,-0.25
"Dallas-Fort Worth-Arlington, TX",Oct-1995,2427051,2.45,4.578,-0.24
"Dallas-Fort Worth-Arlington, TX",Nov-1995,2424907,2.05,4.4757,-0.28
"Dallas-Fort Worth-Arlington, TX",Dec-1995,2426153,1.81,4.1899,-0.13
"Dallas-Fort Worth-Arlington, TX",Jan-1996,2400413,2.13,4.872,-0.31
"Dallas-Fort Worth-Arlington, TX",Feb-1996,2419076,2.24,4.3771,-0.29
"Dallas-Fort Worth-Arlington, TX",Mar-1996,2438471,2.42,4.2556,-0.27
"Dallas-Fort Worth-Arlington, TX",Apr-1996,2447014,2.45,4.0611,-0.59
"Dallas-Fort Worth-Arlington, TX",May-1996,2460243,3.03,4.0748,-0.52
"Dallas-Fort Worth-Arlington, TX",Jun-1996,2489269,3.36,4.2512,-0.88
"Dallas-Fort Worth-Arlington, TX",Jul-1996,2513442,3.57,4.1356,-0.95
"Dallas-Fort Worth-Arlington, TX",Aug-1996,2503813,3.51,3.8161,-1.1
"Dallas-Fort Worth-Arlington, TX",Sep-1996,2503398,3.81,3.7751,-1.08
"Dallas-Fort Worth-Arlington, TX",Oct-1996,2518720,3.78,3.6624,-0.92
