date,libor12
1/2/1986,8.0625
1/3/1986,8.125
1/6/1986,8.125
1/7/1986,8.125
1/8/1986,8.0625
1/9/1986,8.3125
1/10/1986,8.375
1/13/1986,8.5625
1/14/1986,8.625
1/15/1986,8.5
1/16/1986,8.375
1/17/1986,8.3125
1/20/1986,8.5
1/21/1986,8.375
1/22/1986,8.375
1/23/1986,8.4375
1/24/1986,8.375
1/27/1986,8.3125
1/28/1986,8.25
1/29/1986,8.25
1/30/1986,8.25
1/31/1986,8.25
2/3/1986,8.25
2/4/1986,8.2188
2/5/1986,8.1825
2/6/1986,8.1825
2/7/1986,8.25
2/10/1986,8.3125
2/11/1986,8.3125
2/12/1986,8.2813
2/13/1986,8.25
2/14/1986,8.25
2/17/1986,8.125
2/18/1986,8.0938
2/19/1986,8.125
2/20/1986,8.125
2/21/1986,8.125
2/24/1986,8.125
2/25/1986,8.0625
2/26/1986,8.0625
2/27/1986,8
2/28/1986,7.9375
3/3/1986,7.9375
3/4/1986,7.8125
3/5/1986,7.75
3/6/1986,7.75
3/7/1986,7.6875
3/10/1986,7.625
3/11/1986,7.5
3/12/1986,7.4375
3/13/1986,7.5
3/14/1986,7.5
3/17/1986,7.5
3/18/1986,7.5
3/19/1986,7.5
3/20/1986,7.5625
3/21/1986,7.5313
3/24/1986,7.5625
3/25/1986,7.5313
3/26/1986,7.5
3/27/1986,7.4375
3/28/1986,
3/31/1986,
4/1/1986,7.1875
4/2/1986,7.1875
4/3/1986,7.25
4/4/1986,7.2813
4/7/1986,7.1875
4/8/1986,7.0625
4/9/1986,6.875
4/10/1986,6.9375
4/11/1986,6.875
4/14/1986,6.875
4/15/1986,6.875
4/16/1986,6.75
4/17/1986,6.5625
4/18/1986,6.625
4/21/1986,6.6875
4/22/1986,6.75
4/23/1986,6.875
4/24/1986,6.875
4/25/1986,7
4/28/1986,7.0313
4/29/1986,7
4/30/1986,6.9375
5/1/1986,6.9375
5/2/1986,7
5/5/1986,
5/6/1986,6.875
5/7/1986,6.875
5/8/1986,6.875
5/9/1986,6.875
5/12/1986,7
5/13/1986,7.1875
5/14/1986,7
5/15/1986,7.125
5/16/1986,7.25
5/19/1986,7.3125
5/20/1986,7.375
5/21/1986,7.25
5/22/1986,7.25
5/23/1986,7.25
5/26/1986,
5/27/1986,7.1875
5/28/1986,7.1875
5/29/1986,7.25
5/30/1986,7.375
6/2/1986,7.375
6/3/1986,7.5
6/4/1986,7.4375
6/5/1986,7.5
6/6/1986,7.5
6/9/1986,7.3125
6/10/1986,7.375
6/11/1986,7.375
6/12/1986,7.375
6/13/1986,7.375
6/16/1986,7.25
6/17/1986,7.1875
6/18/1986,7.125
6/19/1986,7.125
6/20/1986,7.2188
6/23/1986,7.1875
6/24/1986,7.125
6/25/1986,7
6/26/1986,7.0625
6/27/1986,7
6/30/1986,6.9375
7/1/1986,6.875
7/2/1986,6.875
7/3/1986,6.875
7/4/1986,6.8125
7/7/1986,6.8125
7/8/1986,6.8125
7/9/1986,6.875
7/10/1986,6.8125
7/11/1986,6.75
7/14/1986,6.75
7/15/1986,6.625
7/16/1986,6.625
7/17/1986,6.6875
7/18/1986,6.6875
7/21/1986,6.625
7/22/1986,6.625
7/23/1986,6.6563
7/24/1986,6.6875
7/25/1986,6.75
7/28/1986,6.75
7/29/1986,6.75
7/30/1986,6.6875
7/31/1986,6.6875
8/1/1986,6.5625
8/4/1986,6.5625
8/5/1986,6.5625
8/6/1986,6.625
8/7/1986,6.625
8/8/1986,6.5625
8/11/1986,6.5
8/12/1986,6.4375
8/13/1986,6.375
8/14/1986,6.25
8/15/1986,6.2813
8/18/1986,6.2813
8/19/1986,6.2813
8/20/1986,6.1875
8/21/1986,6.0625
8/22/1986,6
8/25/1986,
8/26/1986,5.9375
8/27/1986,5.875
8/28/1986,5.9375
8/29/1986,5.875
9/1/1986,5.625
9/2/1986,5.7188
9/3/1986,5.875
9/4/1986,5.9375
9/5/1986,5.875
9/8/1986,6.125
9/9/1986,6.1875
9/10/1986,6.125
9/11/1986,6.1875
9/12/1986,6.3755
9/15/1986,6.25
9/16/1986,6.25
9/17/1986,6.3125
9/18/1986,6.2344
9/19/1986,6.375
9/22/1986,6.375
9/23/1986,6.3281
9/24/1986,6.3125
9/25/1986,6.1875
9/26/1986,6.25
9/29/1986,6.3125
9/30/1986,6.3125
10/1/1986,6.25
10/2/1986,6.1875
10/3/1986,6.1875
10/6/1986,6.0625
10/7/1986,6
10/8/1986,6
10/9/1986,6
10/10/1986,6
10/13/1986,6.0625
10/14/1986,6.0625
10/15/1986,6.125
10/16/1986,6.125
10/17/1986,6.1875
10/20/1986,6.3125
10/21/1986,6.3125
10/22/1986,6.25
10/23/1986,6.25
10/24/1986,6.1875
10/27/1986,6.2031
10/28/1986,6.1875
10/29/1986,6.1875
10/30/1986,6
10/31/1986,6.0469
11/3/1986,6.0625
11/4/1986,6.0938
11/5/1986,6.125
11/6/1986,6.125
11/7/1986,6.1875
11/10/1986,6.25
11/11/1986,6.25
11/12/1986,6.25
11/13/1986,6.1875
11/14/1986,6.1875
11/17/1986,6.1875
11/18/1986,6.1875
11/19/1986,6.1875
11/20/1986,6.125
11/21/1986,6.1719
11/24/1986,6.125
11/25/1986,6.0938
11/26/1986,6.125
11/27/1986,6.125
11/28/1986,6.125
12/1/1986,6.125
12/2/1986,6.1875
12/3/1986,6.1875
12/4/1986,6.1719
12/5/1986,6.0625
12/8/1986,6.125
12/9/1986,6.125
12/10/1986,6.125
12/11/1986,6.125
12/12/1986,6.125
12/15/1986,6.25
12/16/1986,6.25
12/17/1986,6.3125
12/18/1986,6.25
12/19/1986,6.3125
12/22/1986,6.5
12/23/1986,6.375
12/24/1986,6.3125
12/25/1986,
12/26/1986,
12/29/1986,6.3125
12/30/1986,6.3125
12/31/1986,6.3125
1/1/1987,
1/2/1987,6.25
1/5/1987,6.25
1/6/1987,6.1875
1/7/1987,6.1875
1/8/1987,6.125
1/9/1987,6.0625
1/12/1987,6.125
1/13/1987,6.1875
1/14/1987,6.1875
1/15/1987,6.1875
1/16/1987,6.1875
1/19/1987,6.1875
1/20/1987,6.1875
1/21/1987,6.15625
1/22/1987,6.17188
1/23/1987,6.125
1/26/1987,6.20313
1/27/1987,6.25
1/28/1987,6.29688
1/29/1987,6.26563
1/30/1987,6.25
2/2/1987,6.3125
2/3/1987,6.3125
2/4/1987,6.3125
2/5/1987,6.3125
2/6/1987,6.3125
2/9/1987,6.375
2/10/1987,6.5
2/11/1987,6.625
2/12/1987,6.625
2/13/1987,6.51563
2/16/1987,6.625
2/17/1987,6.75
2/18/1987,6.75
2/19/1987,6.5625
2/20/1987,6.5
2/23/1987,6.51563
2/24/1987,6.5625
2/25/1987,6.5
2/26/1987,6.53125
2/27/1987,6.5625
3/2/1987,6.5
3/3/1987,6.5
3/4/1987,6.5
3/5/1987,6.4375
3/6/1987,6.4375
3/9/1987,6.5625
3/10/1987,6.625
3/11/1987,6.625
3/12/1987,6.625
3/13/1987,6.625
3/16/1987,6.5625
3/17/1987,6.5625
3/18/1987,6.5625
3/19/1987,6.5625
3/20/1987,6.5625
3/23/1987,6.5625
3/24/1987,6.65625
3/25/1987,6.625
3/26/1987,6.625
3/27/1987,6.625
3/30/1987,6.75
3/31/1987,6.8125
4/1/1987,6.875
4/2/1987,6.8125
4/3/1987,6.9375
4/6/1987,6.8125
4/7/1987,6.85938
4/8/1987,6.875
4/9/1987,6.875
4/10/1987,7.125
4/13/1987,7.3125
4/14/1987,7.6875
4/15/1987,7.4375
4/16/1987,7.3125
4/17/1987,
4/20/1987,
4/21/1987,7.5
4/22/1987,7.5
4/23/1987,7.625
4/24/1987,7.70313
4/27/1987,7.9375
4/28/1987,7.75
4/29/1987,7.75
4/30/1987,7.8125
5/1/1987,7.75
5/4/1987,
5/5/1987,8
5/6/1987,7.9375
5/7/1987,7.9375
5/8/1987,7.875
5/11/1987,7.8125
5/12/1987,7.9375
5/13/1987,7.875
5/14/1987,7.9375
5/15/1987,8
5/18/1987,8.3125
5/19/1987,8.3125
5/20/1987,8.625
5/21/1987,8.5
5/22/1987,8.51563
