date,"Dallas-Fort Worth, TX","Houston, TX","San Antonio, TX"
2010-01,159900,154900,159000
2010-02,159900,158900,160000
2010-03,163990,159900,160000
2010-04,165000,159990,162525.5
2010-05,165000,159900,164900
2010-06,167000,159900,167790
2010-07,164900,159000,165000
2010-08,165000,159900,164500
2010-09,179000,171364,169500
2010-10,173000,169900,169000
2010-11,167000,169991,161900
2010-12,159900,169000,159900
2011-01,159900,166990,159900
2011-02,159900,166490,159900
2011-03,159900,165000,159900
2011-04,160000,165000,160000
2011-05,165000,167900,166900
2011-06,169900,169900,169700
2011-07,169900,169900,168500
2011-08,164412,169000,162500
2011-09,159500,159000,155000
2011-10,159900,159900,156701
2011-11,158500,155000,154900
2011-12,154900,157990,154900
2012-01,156990,159500,156400
2012-02,159900,159900,155460
2012-03,159000,162000,158413
2012-04,159900,165000,159118
2012-05,162000,165900,159900
2012-06,165000,166900,165000
2012-07,163000,165000,163900
2012-08,159900,165000,164900
2012-09,157990,165000,164900
2012-10,159999,165000,167064.5
2012-11,185000,178990,179900
2012-12,188000,182305,180000
2013-01,185990,183381,182000
2013-02,189900,191950,188997.5
2013-03,199000,197442.5,192408.5
2013-04,201990,199900,195403
2013-05,209000,202995,198550
2013-06,209900,207900,2.00E+05
2013-07,209000,208000,2.00E+05
2013-08,207000,208000,200461.5
2013-09,206000,210000,205000
2013-10,207742.5,217990,209907.5
2013-11,203500,212000,208945
2013-12,209000,214900,213990
2014-01,205900,215000,213622
2014-02,210000,224088,219900
2014-03,218900,228995,223000
2014-04,224900,237950,225950
2014-05,229900,239990,234500
2014-06,224900,240880,229000
2014-07,225000,242629,228118.5
2014-08,232005,247990,235990
2014-09,229900,250000,233000
2014-10,234733.5,251000,229900
2014-11,230000,258000,229490
2014-12,243900,269900,239500
2015-01,249000,277000,242997.5
2015-02,254990,281990,246500
2015-03,267534.5,287457.5,244900
2015-04,267990,294000,249990
2015-05,260072,285000,250000
2015-06,259900,278488,255990
2015-07,255000,289900,259990
2015-08,258000,292997.5,259900
2015-09,259900,292990,261990
2015-10,264990,297000,258990
2015-11,265000,297990,259475
2015-12,274500,3.00E+05,260990
2016-01,274990,3.00E+05,260990
2016-02,269900,289000,250000
2016-03,279000,291950,257490
2016-04,279900,290000,259062
2016-05,285000,289990,259000
2016-06,285000,290000,259872.5
2016-07,285000,289500,259777
2016-08,285000,287288,259000
2016-09,289000,285000,253900
2016-10,299000,285899,259990
2016-11,293900,279900,259000
2016-12,294900,279325,253500
2017-01,299000,279900,254990
2017-02,3.00E+05,284990,259900
2017-03,309929,289000,269400
2017-04,315990,290000,272965
2017-05,319900,291990,271980
2017-06,319900,290499.5,275000
2017-07,317990,289000,275000
2017-08,314900,289000,273500
