date,"Dallas-Fort Worth, TX","Houston, TX","San Antonio, TX"
2010-01,,,
2010-02,1295,,
2010-03,1350,,
2010-04,1400,,
2010-05,1375,,
2010-06,1350,,
2010-07,1350,,
2010-08,1375,,
2010-09,1395,,
2010-10,1450,,
2010-11,1395,,
2010-12,1400,,
2011-01,1395,,
2011-02,1325,,
2011-03,1300,,
2011-04,1345,,
2011-05,1350,,
2011-06,1350,,
2011-07,1350,,
2011-08,1295,,
2011-09,1295,,
2011-10,1250,,
2011-11,1250,,
2011-12,1250,,
2012-01,1250,,
2012-02,1295,,
2012-03,1300,,
2012-04,1200,,
2012-05,1250,,
2012-06,1300,,
2012-07,1275,,
2012-08,1250,,
2012-09,1250,,
2012-10,1250,,
2012-11,1275,,
2012-12,1250,,
2013-01,1240,,
2013-02,1250,,925
2013-03,1250,,900
2013-04,1250,,949
2013-05,1275,,929
2013-06,1350,,1037
2013-07,1350,,959
2013-08,1300,,975
2013-09,1350,,1048
2013-10,1350,,1133
2013-11,1325,1375,1100
2013-12,1350,1395,1100
2014-01,1350,1378.5,1100
2014-02,1350,1361.5,1100
2014-03,1350,1399,1150
2014-04,1350,1450,1150
2014-05,1400,1500,1150
2014-06,1400,1550,1195
2014-07,1450,1568.5,1200
2014-08,1450,1575,1195
2014-09,1450,1550,1179
2014-10,1425,1530,1175
2014-11,1445,1550,1150
2014-12,1450,1550,1150
2015-01,1450,1550,1150
2015-02,1450,1550,1175
2015-03,1495,1580,1195
2015-04,1500,1600,1190
2015-05,1500,1600,1200
2015-06,1509,1650,1200
2015-07,1550,1649,1200
2015-08,1550,1609.5,1195
2015-09,1500,1600,1165.5
2015-10,1500,1600,1175
2015-11,1500,1600,1195
2015-12,1500,1600,1192.5
2016-01,1500,1600,1195
2016-02,1500,1600,1195
2016-03,1550,1625,1195
2016-04,1550,1645,1150
2016-05,1550,1600,1135
2016-06,1595,1600,1150
2016-07,1595,1575,1151.5
2016-08,1595,1579,1155.5
2016-09,1545,1550,1125
2016-10,1525,1500,1130
2016-11,1595,1500,1150
2016-12,1525,1495,1100
2017-01,1595,1525,1200
2017-02,1599,1550,1233
2017-03,1625,1550,1250
2017-04,1675,1595,1275
2017-05,1695,1600,1300
2017-06,1700,1600,1335
2017-07,1700,1600,1325
2017-08,1695,1600,1321
