msa,date,f1units,f1change,f1value,f1valchange,f24units,f24change,f24value,f24valchange,f5units,f5change,f5value,f5valchange
"Dallas-Fort Worth-Arlington, TX",Jan-1980,1096,,60400,,198,,35300,,1001,,18900,
"Dallas-Fort Worth-Arlington, TX",Feb-1980,1489,,60900,,185,,31900,,998,,13700,
"Dallas-Fort Worth-Arlington, TX",Mar-1980,1210,,61900,,162,,31800,,839,,17600,
"Dallas-Fort Worth-Arlington, TX",Apr-1980,1041,,62700,,72,,28000,,1319,,17300,
"Dallas-Fort Worth-Arlington, TX",May-1980,1146,,67900,,38,,23100,,569,,20800,
"Dallas-Fort Worth-Arlington, TX",Jun-1980,1819,,58200,,100,,29600,,1022,,19500,
"Dallas-Fort Worth-Arlington, TX",Jul-1980,2281,,66300,,128,,29800,,1074,,26600,
"Dallas-Fort Worth-Arlington, TX",Aug-1980,1956,,58200,,232,,34900,,1559,,14900,
"Dallas-Fort Worth-Arlington, TX",Sep-1980,1941,,60600,,332,,27200,,2139,,23500,
"Dallas-Fort Worth-Arlington, TX",Oct-1980,1726,,63200,,305,,33600,,616,,20500,
"Dallas-Fort Worth-Arlington, TX",Nov-1980,1273,,62600,,282,,39300,,1234,,20700,
"Dallas-Fort Worth-Arlington, TX",Dec-1980,1044,,62000,,244,,19200,,1292,,28900,
"Dallas-Fort Worth-Arlington, TX",Jan-1981,1152,5.1,62500,3.5,299,51,40000,13.3,589,-41.2,22400,18.5
"Dallas-Fort Worth-Arlington, TX",Feb-1981,1346,-9.6,62700,3,146,-21.1,34200,7.2,610,-38.9,20800,51.8
"Dallas-Fort Worth-Arlington, TX",Mar-1981,1766,46,60700,-1.9,182,12.3,40300,26.7,746,-11.1,20100,14.2
"Dallas-Fort Worth-Arlington, TX",Apr-1981,1784,71.4,66200,5.6,222,208.3,30700,9.6,1256,-4.8,36500,111
"Dallas-Fort Worth-Arlington, TX",May-1981,1302,13.6,61000,-10.2,142,273.7,30300,31.2,1387,143.8,17000,-18.3
"Dallas-Fort Worth-Arlington, TX",Jun-1981,1125,-38.2,65900,13.2,349,249,13900,-53,2296,124.7,27400,40.5
"Dallas-Fort Worth-Arlington, TX",Jul-1981,1543,-32.4,60200,-9.2,254,98.4,25500,-14.4,1563,45.5,19300,-27.4
"Dallas-Fort Worth-Arlington, TX",Aug-1981,1113,-43.1,59300,1.9,220,-5.2,26500,-24.1,850,-45.5,41600,179.2
"Dallas-Fort Worth-Arlington, TX",Sep-1981,962,-50.4,60100,-0.8,315,-5.1,31000,14,654,-69.4,16800,-28.5
"Dallas-Fort Worth-Arlington, TX",Oct-1981,528,-69.4,68800,8.9,163,-46.6,23300,-30.7,747,21.3,25400,23.9
"Dallas-Fort Worth-Arlington, TX",Nov-1981,729,-42.7,65500,4.6,134,-52.5,35100,-10.7,887,-28.1,21800,5.3
"Dallas-Fort Worth-Arlington, TX",Dec-1981,824,-21.1,64900,4.7,162,-33.6,32100,67.2,1263,-2.2,27100,-6.2
"Dallas-Fort Worth-Arlington, TX",Jan-1982,888,-22.9,62300,-0.3,130,-56.5,26800,-33,1187,101.5,24000,7.1
"Dallas-Fort Worth-Arlington, TX",Feb-1982,1016,-24.5,70100,11.8,298,104.1,32900,-3.8,985,61.5,23000,10.6
"Dallas-Fort Worth-Arlington, TX",Mar-1982,1207,-31.7,63000,3.8,311,70.9,43900,8.9,952,27.6,35500,76.6
"Dallas-Fort Worth-Arlington, TX",Apr-1982,1529,-14.3,58800,-11.2,241,8.6,32400,5.5,3509,179.4,20800,-43
"Dallas-Fort Worth-Arlington, TX",May-1982,1492,14.6,60200,-1.3,430,202.8,19400,-36,1438,3.7,21200,24.7
"Dallas-Fort Worth-Arlington, TX",Jun-1982,1545,37.3,67100,1.8,238,-31.8,40100,188.5,2819,22.8,19400,-29.2
"Dallas-Fort Worth-Arlington, TX",Jul-1982,1631,5.7,61600,2.3,177,-30.3,33100,29.8,2700,72.7,19700,2.1
"Dallas-Fort Worth-Arlington, TX",Aug-1982,1665,49.6,64000,7.9,240,9.1,36300,37,3084,262.8,28400,-31.7
"Dallas-Fort Worth-Arlington, TX",Sep-1982,1840,91.3,66300,10.3,207,-34.3,38900,25.5,4300,557.5,23000,36.9
"Dallas-Fort Worth-Arlington, TX",Oct-1982,2143,305.9,58600,-14.8,302,85.3,36000,54.5,3037,306.6,23900,-5.9
"Dallas-Fort Worth-Arlington, TX",Nov-1982,2245,208,61400,-6.3,352,162.7,34400,-2,4203,373.8,22700,4.1
"Dallas-Fort Worth-Arlington, TX",Dec-1982,2006,143.4,63200,-2.6,568,250.6,36900,15,6487,413.6,23200,-14.4
"Dallas-Fort Worth-Arlington, TX",Jan-1983,2311,160.2,64100,2.9,225,73.1,37600,40.3,3565,200.3,21400,-10.8
"Dallas-Fort Worth-Arlington, TX",Feb-1983,2410,137.2,67600,-3.6,335,12.4,36000,9.4,5430,451.3,19200,-16.5
"Dallas-Fort Worth-Arlington, TX",Mar-1983,3425,183.8,68500,8.7,610,96.1,39100,-10.9,8333,775.3,21800,-38.6
"Dallas-Fort Worth-Arlington, TX",Apr-1983,3150,106,69700,18.5,835,246.5,24400,-24.7,4900,39.6,22100,6.2
"Dallas-Fort Worth-Arlington, TX",May-1983,3436,130.3,69000,14.6,299,-30.5,38400,97.9,4335,201.5,22600,6.6
"Dallas-Fort Worth-Arlington, TX",Jun-1983,3479,125.2,71100,6,404,69.7,45300,13,8563,203.8,22100,13.9
"Dallas-Fort Worth-Arlington, TX",Jul-1983,2710,66.2,72300,17.4,284,60.5,38000,14.8,8090,199.6,26200,33
"Dallas-Fort Worth-Arlington, TX",Aug-1983,2958,77.7,71000,10.9,455,89.6,38400,5.8,7017,127.5,24900,-12.3
"Dallas-Fort Worth-Arlington, TX",Sep-1983,2479,34.7,69800,5.3,558,169.6,35700,-8.2,5258,22.3,29600,28.7
"Dallas-Fort Worth-Arlington, TX",Oct-1983,2803,30.8,71000,21.2,585,93.7,33700,-6.4,7596,150.1,22200,-7.1
"Dallas-Fort Worth-Arlington, TX",Nov-1983,2358,5,75100,22.3,377,7.1,32800,-4.7,4869,15.8,36100,59
"Dallas-Fort Worth-Arlington, TX",Dec-1983,2037,1.5,91800,45.3,309,-45.6,40000,8.4,4787,-26.2,28300,22
"Dallas-Fort Worth-Arlington, TX",Jan-1984,2904,25.7,67800,5.8,362,60.9,37800,0.5,5527,55,29200,36.4
"Dallas-Fort Worth-Arlington, TX",Feb-1984,3182,32,72500,7.2,216,-35.5,41800,16.1,4526,-16.6,23000,19.8
"Dallas-Fort Worth-Arlington, TX",Mar-1984,3479,1.6,70100,2.3,418,-31.5,37800,-3.3,1651,-80.2,24800,13.8
"Dallas-Fort Worth-Arlington, TX",Apr-1984,3448,9.5,67800,-2.7,793,-5,36000,47.5,6553,33.7,24600,11.3
