date,sales,vol,p_avg,p_med,total_listing,months_inventory,msa
Jan-1990,2500,214427500,85771,45500,22318,8.9,"Houston-The Woodlands-Sugar Land, TX"
Feb-1990,1935,171518400,88640,66231,23191,10.5,"Houston-The Woodlands-Sugar Land, TX"
Mar-1990,2554,219963250,86125,67052,24247,10.4,"Houston-The Woodlands-Sugar Land, TX"
Apr-1990,2434,221267638,90907,66949,24709,10.5,"Houston-The Woodlands-Sugar Land, TX"
May-1990,2999,258048955,86045,65923,25390,10.2,"Houston-The Woodlands-Sugar Land, TX"
Jun-1990,3204,295988724,92381,70439,25023,9.6,"Houston-The Woodlands-Sugar Land, TX"
Jul-1990,3122,285072942,91311,69618,25153,9.4,"Houston-The Woodlands-Sugar Land, TX"
Aug-1990,3627,337151412,92956,69310,24280,8.7,"Houston-The Woodlands-Sugar Land, TX"
Sep-1990,2588,217407528,84006,64794,23385,8.4,"Houston-The Woodlands-Sugar Land, TX"
Oct-1990,2805,236966400,84480,65307,23075,8.3,"Houston-The Woodlands-Sugar Land, TX"
Nov-1990,2500,214427500,85771,45500,22318,8.1,"Houston-The Woodlands-Sugar Land, TX"
Dec-1990,2220,194241120,87496,65513,21832,8.1,"Houston-The Woodlands-Sugar Land, TX"
Jan-1991,1599,139685442,87358,66642,21065,8,"Houston-The Woodlands-Sugar Land, TX"
Feb-1991,1940,149178240,76896,64179,22044,8.4,"Houston-The Woodlands-Sugar Land, TX"
Mar-1991,2191,204163953,93183,72286,22762,8.7,"Houston-The Woodlands-Sugar Land, TX"
Apr-1991,2640,234511200,88830,67565,23707,9.1,"Houston-The Woodlands-Sugar Land, TX"
May-1991,3233,303843806,93982,77110,24357,9.2,"Houston-The Woodlands-Sugar Land, TX"
Jun-1991,3184,303100880,95195,74339,25315,9.6,"Houston-The Woodlands-Sugar Land, TX"
Jul-1991,3121,304403614,97534,76596,24571,9.3,"Houston-The Woodlands-Sugar Land, TX"
Aug-1991,3287,308777493,93939,66847,24253,9.3,"Houston-The Woodlands-Sugar Land, TX"
Sep-1991,2655,233942670,88114,79162,24099,9.2,"Houston-The Woodlands-Sugar Land, TX"
Oct-1991,2481,229700904,92584,70952,23485,9.1,"Houston-The Woodlands-Sugar Land, TX"
Nov-1991,2695,185318980,68764,65000,22534,8.7,"Houston-The Woodlands-Sugar Land, TX"
Dec-1991,2370,225346710,95083,72286,19969,7.6,"Houston-The Woodlands-Sugar Land, TX"
Jan-1992,1544,135592536,87819,74647,22612,8.7,"Houston-The Woodlands-Sugar Land, TX"
Feb-1992,1677,183571128,109464,73723,23529,9.1,"Houston-The Woodlands-Sugar Land, TX"
Mar-1992,2420,247353040,102212,77315,24665,9.5,"Houston-The Woodlands-Sugar Land, TX"
Apr-1992,2439,244963404,100436,76904,25810,10,"Houston-The Woodlands-Sugar Land, TX"
May-1992,2818,271776374,96443,81420,26446,10.3,"Houston-The Woodlands-Sugar Land, TX"
Jun-1992,2938,291208684,99118,70439,26678,10.5,"Houston-The Woodlands-Sugar Land, TX"
Jul-1992,2952,283418568,96009,77007,27160,10.8,"Houston-The Woodlands-Sugar Land, TX"
Aug-1992,2954,287568946,97349,75262,26270,10.5,"Houston-The Woodlands-Sugar Land, TX"
Sep-1992,2558,247210236,96642,81112,25856,10.4,"Houston-The Woodlands-Sugar Land, TX"
Oct-1992,2114,205601298,97257,78136,25004,10.2,"Houston-The Woodlands-Sugar Land, TX"
Nov-1992,2283,197963496,86712,81523,24003,9.9,"Houston-The Woodlands-Sugar Land, TX"
Dec-1992,2368,220747328,93221,79675,22001,9.1,"Houston-The Woodlands-Sugar Land, TX"
Jan-1993,1506,149425320,99220,73415,24979,10.3,"Houston-The Woodlands-Sugar Land, TX"
Feb-1993,1864,184741040,99110,77007,25504,10.5,"Houston-The Woodlands-Sugar Land, TX"
Mar-1993,2123,219870618,103566,78752,25964,10.8,"Houston-The Woodlands-Sugar Land, TX"
Apr-1993,2304,232300800,100825,77212,27005,11.3,"Houston-The Woodlands-Sugar Land, TX"
May-1993,2535,270738000,106800,80496,26505,11.2,"Houston-The Woodlands-Sugar Land, TX"
Jun-1993,3091,335364227,108497,80599,26115,10.9,"Houston-The Woodlands-Sugar Land, TX"
Jul-1993,3017,325836000,108000,81112,26056,10.9,"Houston-The Woodlands-Sugar Land, TX"
Aug-1993,3072,323149824,105192,79983,25728,10.7,"Houston-The Woodlands-Sugar Land, TX"
Sep-1993,2563,264901428,103356,78238,24881,10.4,"Houston-The Woodlands-Sugar Land, TX"
Oct-1993,2535,263855475,104085,79059,24654,10.1,"Houston-The Woodlands-Sugar Land, TX"
Nov-1993,2394,246749580,103070,79470,23849,9.7,"Houston-The Woodlands-Sugar Land, TX"
Dec-1993,2741,297894621,108681,78136,21869,8.8,"Houston-The Woodlands-Sugar Land, TX"
Jan-1994,1705,178308900,104580,74133,23254,9.3,"Houston-The Woodlands-Sugar Land, TX"
Feb-1994,1948,203242632,104334,76904,23786,9.5,"Houston-The Woodlands-Sugar Land, TX"
Mar-1994,2762,286609978,103769,77007,24675,9.7,"Houston-The Woodlands-Sugar Land, TX"
Apr-1994,2803,289496643,103281,78136,25084,9.7,"Houston-The Woodlands-Sugar Land, TX"
May-1994,3090,318223650,102985,78854,25835,9.8,"Houston-The Woodlands-Sugar Land, TX"
Jun-1994,3316,361898292,109137,80188,25858,9.7,"Houston-The Woodlands-Sugar Land, TX"
Jul-1994,2896,300793040,103865,79367,26009,9.8,"Houston-The Woodlands-Sugar Land, TX"
Aug-1994,3126,343478628,109878,79367,25663,9.7,"Houston-The Woodlands-Sugar Land, TX"
Sep-1994,2595,264757470,102026,75775,25323,9.5,"Houston-The Woodlands-Sugar Land, TX"
Oct-1994,2322,227530458,97989,74133,24395,9.2,"Houston-The Woodlands-Sugar Land, TX"
Nov-1994,2278,222079942,97489,73107,22978,8.7,"Houston-The Woodlands-Sugar Land, TX"
Dec-1994,2440,258996240,106146,75468,21374,8.2,"Houston-The Woodlands-Sugar Land, TX"
