date,oil_p
Jan-1980,37
Feb-1980,37.04
Mar-1980,39.52
Apr-1980,39.5
May-1980,39.5
Jun-1980,39.5
Jul-1980,39.49
Aug-1980,38.01
Sep-1980,36.02
Oct-1980,36
Nov-1980,35.98
Dec-1980,36.99
Jan-1981,38
Feb-1981,38
Mar-1981,38
Apr-1981,37.99
May-1981,36.02
Jun-1981,36
Jul-1981,35
Aug-1981,35
Sep-1981,35
Oct-1981,35
Nov-1981,35
Dec-1981,35
Jan-1982,35.01
Feb-1982,34.03
Mar-1982,33.01
Apr-1982,31.99
May-1982,32
Jun-1982,32
Jul-1982,32
Aug-1982,32
Sep-1982,32
Oct-1982,33
Nov-1982,33
Dec-1982,32
Jan-1983,32
Feb-1983,30.02
Mar-1983,29.17
Apr-1983,30.51
May-1983,30.19
Jun-1983,31.03
Jul-1983,31.64
Aug-1983,31.9
Sep-1983,31.24
Oct-1983,30.41
Nov-1983,29.99
Dec-1983,29.15
Jan-1984,29.7
Feb-1984,30.14
Mar-1984,30.78
Apr-1984,30.61
May-1984,30.55
Jun-1984,29.95
Jul-1984,28.64
Aug-1984,29.25
Sep-1984,29.36
Oct-1984,28.76
Nov-1984,28.05
Dec-1984,26.86
Jan-1985,25.65
Feb-1985,27.31
Mar-1985,28.37
Apr-1985,28.82
May-1985,27.63
Jun-1985,27.19
Jul-1985,27.34
Aug-1985,27.76
Sep-1985,28.27
Oct-1985,29.58
Nov-1985,30.8
Dec-1985,27.18
Jan-1986,22.86
Feb-1986,15.4
Mar-1986,12.48
Apr-1986,12.85
May-1986,15.42
Jun-1986,13.56
Jul-1986,11.57
Aug-1986,15.1
Sep-1986,14.95
Oct-1986,14.88
Nov-1986,15.17
Dec-1986,16.05
Jan-1987,18.69
Feb-1987,17.76
Mar-1987,18.41
Apr-1987,18.67
May-1987,19.44
Jun-1987,20.07
Jul-1987,21.34
Aug-1987,20.28
Sep-1987,19.55
Oct-1987,19.87
Nov-1987,18.97
Dec-1987,17.27
Jan-1988,17.14
Feb-1988,16.73
Mar-1988,16.19
Apr-1988,17.9
May-1988,17.39
Jun-1988,16.47
Jul-1988,15.5
Aug-1988,15.52
Sep-1988,14.55
Oct-1988,13.78
Nov-1988,14.12
Dec-1988,16.37
Jan-1989,18.01
Feb-1989,17.97
Mar-1989,19.49
Apr-1989,21.19
May-1989,20.35
