"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,186000,189900,195000,199000,199900,199750,199000,199500,199000,197500,195000,194000,199000,2e+05,209900,214900,215000,215000,215000,214900,212900,209900,204875,209000,214900,219000,222490,227900,229000,229000,227500,229000,227500,225990,225000,225000,225000,229900,237000,239900,240000,239900,239649,239900,239900,238990,235000,234900,239900,246000,250000,255900,259000,258500,254900
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,350000,359000,365000,369900,375000,369900,369000,360000,365000,365000,369900,369000,369000,372000,379500,389000,399000,399000,399000,398000,395994.5,399000,391900,394000,397500,398999,399000,399900,399800,409000,415850,408997.5,408000,410000,405000,399900,419000,419900,419000,429900,429900,430000,429999,425000,429000,429000,429000,427116,429000,437311,448000,449900,459900,465000,460000,449999
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,5e+05,499000,499900,510000,529900,539900,549000,549900,549000,549800,542000,535000,5e+05,525000,545000,559000,575000,599000,599900,599000,599000,599000,599500,599000,599000,599000,6e+05,620000,628888,635000,640000,639900,638880,638000,639900,639900,630000,637047.5,643000,650000,674900,679800,670000,675000,675000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,190000,189000,199000,209900,219777,225000,229900,227710.5,225000,220900,219900,215000,204900,199900,213900,224900,229000,235000,238900,235000,234900,229900,229900,225000,219900,219900,229000,239500,247245,249900,250000,249900,246900,246000,245000,239900,238000,239000,249900,258900,264500,265000,269000,265000,259900
"Dallas-Fort Worth, TX",4,159900,159900,163990,165000,165000,167000,164900,165000,179000,173000,167000,159900,159900,159900,159900,160000,165000,169900,169900,164412,159500,159900,158500,154900,156990,159900,159000,159900,162000,165000,163000,159900,157990,159999,185000,188000,185990,189900,199000,201990,209000,209900,209000,207000,206000,207742.5,203500,209000,205900,210000,218900,224900,229900,224900,225000,232005,229900,234733.5,230000,243900,249000,254990,267534.5,267990,260072,259900,255000,258000,259900,264990,265000,274500,274990,269900,279000,279900,285000,285000,285000,285000,289000,299000,293900,294900,299000,3e+05,309929,315990,319900,319900,317990,314900
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000,199000,199900,209000,214000,219900,222000,215990,209900,209900,209900,205000,209900,199900,2e+05,214900,220000,224999,225000,219900,219000,219900,215000,210000,199999,199900,209900,219000,224900,229000,225500,223900,219900,219962,215000,214900,205888,199999,203900,215000,220000,225000,227500,224000,219500,219900,219900,214500,199900,199900,203900,219900,229000,234900,234000,234000,229000
"Houston, TX",6,154900,158900,159900,159990,159900,159900,159000,159900,171364,169900,169991,169000,166990,166490,165000,165000,167900,169900,169900,169000,159000,159900,155000,157990,159500,159900,162000,165000,165900,166900,165000,165000,165000,165000,178990,182305,183381,191950,197442.5,199900,202995,207900,208000,208000,210000,217990,212000,214900,215000,224088,228995,237950,239990,240880,242629,247990,250000,251000,258000,269900,277000,281990,287457.5,294000,285000,278488,289900,292997.5,292990,297000,297990,3e+05,3e+05,289000,291950,290000,289990,290000,289500,287288,285000,285899,279900,279325,279900,284990,289000,290000,291990,290499.5,289000,289000
"Washington, DC",7,261000,272500,280000,295000,289900,285000,283000,279000,292000,289990,284900,270000,260000,269000,274900,275000,285000,294900,275000,285950,285000,285000,276900,270000,274900,279500,289500,299900,315000,319900,314900,305000,299999,309000,339900,330000,330000,340949.5,350000,365000,375000,375000,374500,366000,369000,365000,359900,355000,349990,359900,370000,379900,389900,389900,385000,379900,379900,379900,375000,365942.5,359950,366000,379673,389000,390000,389900,370000,379900,384900,379990,375000,374900,378500,378900,389900,404992.5,409900,409000,399999,399000,399900,399900,399895,394990,390000,399500,414999.5,425000,425560,425000,424900,415000
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255000,250000,249950,250000,249900,250000,250000,258990,250000,255000,259000,259000,265000,265000,264900,274500,279989,275000,269000,270000,285000,289000,295000,295000,3e+05,305900,304900,308000,3e+05,319900,321428,325000,325000,329000,330000,332400,334999,333000,330000,335000,339000,340000,345900,349000,349000,349000
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184900,176982.5,171500,179000,189900,198900,199900,205648,206900,2e+05,199900,198762.5,193000,185000,189900,194000,195000,199830,2e+05,205000,204900,209900,209900,209900,207000,208180,208990,207500,214900,220000,226995,229900,230000,229000,227999,229900,228000,225000,225000,228000,239900,249900,250000,252000,250844,250000
"Boston, MA",10,280000,309900,314900,317500,319000,319900,315000,310000,319900,319900,318250,299900,299900,305123,304900,310000,319900,319000,309000,3e+05,3e+05,299900,290000,280000,289900,290000,299900,315000,319900,319900,314900,3e+05,305000,309900,339900,329900,334450,340000,349900,359900,369900,374844,369900,359900,364999,369000,364999,359900,355000,374900,379000,388500,389900,389900,384900,379900,382500,386250,384900,379000,377500,379900,389900,399000,399900,399900,399500,394900,399000,399900,399900,399000,395000,399999,425000,435950,439900,439900,434500,428500,435000,439127.5,439900,435000,434900,449000,468000,475000,480000,479995,474900,465000
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599000,599000,629000,644950,659000,685000,679000,669000,649950,650000,650000,629000,599000,599888,658000,698945,705000,735000,739000,725000,699500,710000,735000,734944,717800,699000,749000,774500,799000,799000,799000,779000,750000,775577.5,785000,765000,748000,749900,784000,799000,814995,825000,799880,795000,779900
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,119900,115000,119725,125000,138900,145000,149900,149999,150000,149900,145000,134000,124900,129900,139800,141450,149000,150000,157000,156900,155000,155000,149900,149900,142900,139900,139900,149900,155000,165000,169900,169900,169900,168900,168900,163880,159900,155000,160000,170000,180000,189900,194900,190000,189900
"Riverside, CA",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000,289000,289000,289900,295000,299900,3e+05,303387.5,3e+05,3e+05,299900,299900,299000,299000,3e+05,309900,314900,315000,319900,324000,321100,319999,320990,325000,328498,329000,329900,329900,334000,335000,339000,339900,340000,339000,335000,335900,339000,339900,339900,344000,348844,349500,350000,349950,349999,349900
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224900,225000,225000,227000,232595,235000,239000,239900,236445,235000,239000,239900,235000,234000,239900,248000,250000,259000,260000,260000,254761.5,260000,262650,265000,267900,266500,268900,269000,269900,274336,274500,274998.5,271000,269900,269900,269900,269900,269900,270000,275000,278950,281990,284900,280000,279990,279900
"Seattle, WA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319950,319500,304990,310000,320735,329950,330000,349794.5,349950,349900,349000,340000,320000,296000,309900,329000,340900,349992.5,359950,365000,360000,363444.5,364990,359950,354950,349950,349950,350000,369000,380000,394950,399000,395000,389900,390000,391157.5,389900,379000,375000,394950,415000,425000,439950,445000,445000,439000
"Minneapolis-St Paul, MN",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,219362.5,210000,221475,229900,230000,239900,244900,244900,244900,246700,239900,239900,239900,244000,249900,249900,249900,256900,258995,259900,259900,259900,259900,259900,259900,264900,261222.5,269900,265000,266450,265900,265100,260000,264900,265000,269900,278700,284696,290000,289900,290000,295000,295000,294900,289900
"San Diego, CA",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,451500,458444,465000,475000,489000,459000,483500,499000,495000,489500,485000,485000,475000,479700,490000,524000,534800,549000,525000,555000,550000,559000,559900,564000,575000,569000,569000,569000,575000,579000,579000,585000,579000,579000,575000,572400,575000,579000,589000,595000,615000,625000,624000,624900,620000
