area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Abilene, TX",1970,122164,null,null,null,null,null,null
"Abilene, TX",1971,124900,2.2396,2736,null,null,null,null
"Abilene, TX",1972,128400,2.8022,3500,null,null,null,null
"Abilene, TX",1973,127500,-0.7009,-900,null,null,null,null
"Abilene, TX",1974,128600,0.8627,1100,null,null,null,null
"Abilene, TX",1975,131000,1.8663,2400,null,null,null,null
"Abilene, TX",1976,133400,1.8321,2400,null,null,null,null
"Abilene, TX",1977,133100,-0.2249,-300,null,null,null,null
"Abilene, TX",1978,134400,0.9767,1300,null,null,null,null
"Abilene, TX",1979,136600,1.6369,2200,null,null,null,null
"Abilene, TX",1980,139192,1.8975,2592,null,null,null,null
"Abilene, TX",1981,143310,2.9585,4118,null,null,null,null
"Abilene, TX",1982,148899,3.8999,5589,2867,1345,null,null
"Abilene, TX",1983,152939,2.7132,4040,3062,1310,null,null
"Abilene, TX",1984,153587,0.4237,648,3067,1325,null,null
"Abilene, TX",1985,153470,-0.0762,-117,2959,1320,null,null
"Abilene, TX",1986,155031,1.0171,1561,2868,1319,null,null
"Abilene, TX",1987,153655,-0.8876,-1376,2775,1338,null,null
"Abilene, TX",1988,150042,-2.3514,-3613,2692,1383,null,null
"Abilene, TX",1989,149324,-0.4785,-718,2657,1350,null,null
"Abilene, TX",1990,148004,-0.884,-1320,1991,968,null,null
"Abilene, TX",1991,147400,-0.4081,-604,2482,1308,null,null
"Abilene, TX",1992,149917,1.7076,2517,2516,1454,170,223
"Abilene, TX",1993,152909,1.9958,2992,2282,1368,197,858
"Abilene, TX",1994,153779,0.569,870,2300,1439,133,-1000
"Abilene, TX",1995,156097,1.5074,2318,2398,1467,184,451
"Abilene, TX",1996,156351,0.1627,254,2245,1467,197,-1300
"Abilene, TX",1997,157405,0.6741,1054,2300,1437,259,-806
"Abilene, TX",1998,158264,0.5457,859,2387,1397,172,-784
"Abilene, TX",1999,159755,0.9421,1491,2359,1456,147,-260
"Abilene, TX",2000,160245,0.3067,490,null,null,null,null
"Abilene, TX",2001,158917,-0.8287,-1328,2375,1547,134,-2667
"Abilene, TX",2002,159012,0.0598,95,2337,1577,-93,-689
"Abilene, TX",2003,158810,-0.127,-202,2244,1471,-592,-18
"Abilene, TX",2004,160156,0.8476,1346,2381,1573,465,-608
"Abilene, TX",2005,160761,0.3778,605,2457,1542,110,-732
"Abilene, TX",2006,161389,0.3906,628,2454,1515,289,-1145
"Abilene, TX",2007,162023,0.3928,634,2445,1513,69,-690
"Abilene, TX",2008,162508,0.2993,485,2427,1534,163,-1008
"Abilene, TX",2009,163888,0.8492,1380,2413,1515,120,-10
"Abilene, TX",2010,165252,0.8323,1364,539,404,89,127
"Abilene, TX",2011,166651,0.8466,1399,2295,1506,222,13
"Abilene, TX",2012,167540,0.5335,889,2357,1587,535,-418
"Abilene, TX",2013,167609,0.0412,69,2389,1693,407,-1088
"Abilene, TX",2014,168465,0.5107,856,2383,1596,399,-279
"Abilene, TX",2015,169893,0.8477,1428,2400,1692,457,276
"Abilene, TX",2016,170364,0.2772,471,2445,1755,381,-599
